,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data
22925,United States of America,Diablo Canyon,USA0006099,2323.0,35.2115,-120.8555,1985.5010761945762,Pacific Gas & Electric Co.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
22983,United States of America,Donald C Cook,USA0006000,2285.3,41.9756,-86.5652,1976.4877259003194,Indiana Michigan Power Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
23009,United States of America,Dresden Generating Station,USA0000869,2018.6,41.39,-88.27,1970.5,Exelon Nuclear,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
23029,United States of America,Duane Arnold Energy Center,USA0001060,679.5,42.1011,-91.7781,1975.0,NextEra Energy Duane Arnold LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
23165,United States of America,Edwin I Hatch,USA0006051,1721.8000000000004,31.9342,-82.3447,1977.5066209780466,Georgia Power Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
23414,United States of America,Fermi,USA0001729,1281.0,41.9631,-83.2581,1986.9008587041374,DTE Electric Company,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
23910,United States of America,Grand Gulf,USA0006072,1440.0,32.0081,-91.0478,1985.0,System Energy Resources  Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
24053,United States of America,H B Robinson,USA0003251,768.6,34.4017,-80.1589,1971.0,Duke Energy Progress - (NC),U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
24147,United States of America,Harris,USA0006015,950.9,35.6334,-78.9556,1987.0,Duke Energy Progress - (NC),U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
24525,United States of America,Indian Point 2,USA0002497,1299.0,41.2706,-73.9527,1973.0,Entergy Nuclear Indian Point 2,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
24526,United States of America,Indian Point 3,USA0008907,1012.0,41.2706,-73.9526,1976.0,Entergy Nuclear Indian Point 3,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
24683,United States of America,James A Fitzpatrick,USA0006110,883.3,43.5214,-76.4084,1976.0,Exelon Nuclear,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
24767,United States of America,Joseph M Farley,USA0006001,1776.4,31.2231,-85.1116,1979.5,Alabama Power Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
25010,United States of America,LaSalle Generating Station,USA0006026,2340.0,41.2455,-88.6691,1984.0,Exelon Nuclear,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
25193,United States of America,Limerick,USA0006105,2277.0,40.2243,-75.5874,1988.0,Exelon Nuclear,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
25586,United States of America,McGuire,USA0006038,2440.6,35.4331,-80.9486,1982.5,Duke Energy Carolinas  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
25758,United States of America,Millstone,USA0000566,2162.9,41.3107,-72.1677,1981.793148088215,Dominion Energy Nuclear Conn Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
25865,United States of America,Monticello Nuclear Facility,USA0001922,685.0,45.3338,-93.8493,1971.0,Northern States Power Co - Minnesota,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
26186,United States of America,Nine Mile Point Nuclear Station,USA0002589,1901.1,43.5211,-76.41,1981.260901583294,Exelon Nuclear,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
26220,United States of America,North Anna,USA0006168,1960.4,38.06,-77.7897,1979.5043358498267,Virginia Electric & Power Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
26356,United States of America,Oconee,USA0003265,2666.7,34.7939,-82.8986,1974.002474969063,Duke Energy Carolinas  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
26527,United States of America,Oyster Creek,USA0002388,550.0,39.8143,-74.2062,1970.0,Exelon Nuclear,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
26565,United States of America,PSEG Hope Creek Generating Station,USA0006118,1290.7,39.4666,-75.5377,1987.0,PSEG Nuclear LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
26568,United States of America,PSEG Salem Generating Station,USA0002410,2381.8,39.4625,-75.5358,1978.8596019816946,PSEG Nuclear LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
26593,United States of America,Palisades,USA0001715,811.8,42.323,-86.3146,1972.0,Entergy Nuclear Palisades LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
26603,United States of America,Palo Verde,USA0006008,4209.6,33.3881,-112.8617,1986.6666666666665,Arizona Public Service Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2017.0
